series,ref_month,value,source_pdf,release_date
aig_pmi,2013-03-01,-11.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2013-04-01
aig_pmi,2013-04-01,-26.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2013-05-01
aig_pmi,2013-05-01,-12.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2013-06-03
aig_pmi,2013-06-01,-0.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2013-07-01
aig_pmi,2013-07-01,-16.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2013-08-01
aig_pmi,2013-08-01,-7.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2013-09-02
aig_pmi,2013-09-01,3.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2013-10-01
aig_pmi,2013-10-01,6.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2013-10-31
aig_pmi,2013-11-01,-4.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2013-12-01
aig_pmi,2013-12-01,-4.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2014-01-01
aig_pmi,2014-01-01,-6.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2014-02-02
aig_pmi,2014-02-01,-2.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2014-03-02
aig_pmi,2014-03-01,-4.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2014-03-31
aig_pmi,2014-04-01,-10.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2014-05-01
aig_pmi,2014-05-01,-1.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2014-06-02
aig_pmi,2014-06-01,-2.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2014-07-01
aig_pmi,2014-07-01,1.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2014-08-01
aig_pmi,2014-08-01,-5.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2014-09-01
aig_pmi,2014-09-01,-7.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2014-10-01
aig_pmi,2014-10-01,-1.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2014-11-02
aig_pmi,2014-11-01,0.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2014-11-30
aig_pmi,2014-12-01,-6.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2015-01-04
aig_pmi,2015-01-01,-2.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2015-02-01
aig_pmi,2015-02-01,-9.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2015-03-01
aig_pmi,2015-03-01,-7.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2015-03-31
aig_pmi,2015-04-01,-4.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2015-05-01
aig_pmi,2015-05-01,4.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2015-06-01
aig_pmi,2015-06-01,-11.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2015-07-01
aig_pmi,2015-07-01,0.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2015-08-03
aig_pmi,2015-08-01,3.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2015-09-01
aig_pmi,2015-09-01,4.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2015-10-01
aig_pmi,2015-10-01,0.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2015-11-01
aig_pmi,2015-11-01,5.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2015-11-30
aig_pmi,2015-12-01,3.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2016-01-03
aig_pmi,2016-01-01,3.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2016-01-31
aig_pmi,2016-02-01,7.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2016-02-29
aig_pmi,2016-03-01,16.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2016-03-31
aig_pmi,2016-04-01,6.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2016-05-02
aig_pmi,2016-05-01,2.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2016-06-02
aig_pmi,2016-06-01,3.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2016-07-01
aig_pmi,2016-07-01,12.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2016-08-01
aig_pmi,2016-08-01,-6.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2016-09-01
aig_pmi,2016-09-01,-0.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2016-10-02
aig_pmi,2016-10-01,1.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2016-10-31
aig_pmi,2016-11-01,8.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2016-11-30
aig_pmi,2016-12-01,10.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2017-01-02
aig_pmi,2017-01-01,2.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2017-02-01
aig_pmi,2017-02-01,18.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2017-02-28
aig_pmi,2017-03-01,15.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2017-04-03
aig_pmi,2017-04-01,18.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2017-05-01
aig_pmi,2017-05-01,10.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2017-07-03
aig_pmi,2017-07-01,12.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2017-08-01
aig_pmi,2017-08-01,19.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2017-09-01
aig_pmi,2017-09-01,8.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2017-10-01
aig_pmi,2017-10-01,2.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2017-10-31
aig_pmi,2017-11-01,14.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2017-11-30
aig_pmi,2017-12-01,12.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2018-01-01
aig_pmi,2018-01-01,17.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2018-01-31
aig_pmi,2018-02-01,15.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2018-02-28
aig_pmi,2018-03-01,26.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2018-04-02
aig_pmi,2018-04-01,16.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2018-04-30
aig_pmi,2018-05-01,15.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2018-06-01
aig_pmi,2018-06-01,14.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2018-07-01
aig_pmi,2018-07-01,4.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2018-07-31
aig_pmi,2018-08-01,13.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2018-09-02
aig_pmi,2018-09-01,18.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2018-10-01
aig_pmi,2018-10-01,16.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2018-10-31
aig_pmi,2018-11-01,2.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2018-12-02
aig_pmi,2018-12-01,-1.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2019-01-06
aig_pmi,2019-01-01,5.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2019-01-31
aig_pmi,2019-02-01,8.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2019-02-28
aig_pmi,2019-03-01,2.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2019-03-31
aig_pmi,2019-04-01,9.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2019-04-30
aig_pmi,2019-05-01,5.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2019-06-02
aig_pmi,2019-06-01,-1.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2019-06-30
aig_pmi,2019-07-01,2.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2019-07-31
aig_pmi,2019-08-01,6.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2019-09-01
aig_pmi,2019-09-01,9.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2019-09-30
